timestamp,portfolio_value,positions,cash
2025-07-19 23:42:01.965376,100000,0,100000
2025-07-19 23:57:01.975714,100000,0,100000
2025-07-20 00:12:02.073793,100000,0,100000
2025-07-20 00:27:02.114179,100000,0,100000
2025-07-20 00:42:02.191660,100000,0,100000
2025-07-20 00:57:02.257402,100000,0,100000
2025-07-20 01:12:02.287852,100000,0,100000
2025-07-20 01:27:02.388105,100000,0,100000
2025-07-20 01:42:02.413824,100000,0,100000
2025-07-20 01:57:02.428663,100000,0,100000
2025-07-20 02:12:02.442886,100000,0,100000
